Hello Scotland	Ef	RATED (mk4) 0950 <100> <= [95]
The Raven That Refused to Sing	Steven Wilson	RATED (mk4) 0948 <100> <= [100,94,94,94]
Dust and Disquiet	Caspian	RATED (mk4) 0946 <100> <= [100,96,90,95]
Creep	Radiohead	RATED (mk4) 0946 <100> <= [100,95,94,93]
Yes	Aereogramme	RATED (mk4) 0946 <100> <= [100,91]
Worlds on Fire	The Butterfly Effect	RATED (mk4) 0946 <100> <= [100,91]
Welcome To The Black Parade	My Chemical Romance	RATED (mk4) 0946 <100> <= [100,91]
Universal	Anathema	RATED (mk4) 0946 <100> <= [100,91]
Sorceress	Opeth	RATED (mk4) 0946 <100> <= [100,91]
Routine	Steven Wilson	RATED (mk4) 0946 <100> <= [100,91]
Orison	Soen	RATED (mk4) 0946 <100> <= [100,91]
Mogwai Fear Satan	Mogwai	RATED (mk4) 0946 <100> <= [100,91]
Matroshka (The Ornament)	Dredg	RATED (mk4) 0946 <100> <= [100,91]
Kepler	Ohgod!	RATED (mk4) 0946 <100> <= [100,91]
Bloodtest	Amplifier	RATED (mk4) 0946 <100> <= [100,91]
As The Smoke Clears	Oceansize	RATED (mk4) 0946 <100> <= [100,91]
Abyss	Jambinai	RATED (mk4) 0946 <100> <= [100,91]
Anesthetize	Porcupine Tree	RATED (mk4) 0946 <100> <= [100,90,94]
Amputee	Oceansize	RATED (mk4) 0944 <100> <= [100,91,93]
Madness	Muse	RATED (mk4) 0943 <100> <= [100,95,90]
Unmake the Wild Light	65daysofstatic	RATED (mk4) 0943 <100> <= [100,94,92,96,93]
Atrocity Exhibition	Joy Division	RATED (mk4) 0942 <100> <= [93,95]
All I Need	Radiohead	RATED (mk4) 0941 <100> <= [100,92,95,93]
Suddenly	Black Rebel Motorcycle Club	RATED (mk4) 0941 <100> <= [100,90,93]
Minerva	Deftones	RATED (mk4) 0941 <100> <= [100,90,93]
Where the River Goes	Amplifier	RATED (mk4) 0940 <100> <= [100,90]
Themata	Karnivool	RATED (mk4) 0940 <100> <= [100,90]
She’s Gone Away	Nine Inch Nails	RATED (mk4) 0940 <100> <= [100,90]
Serak	Recondite	RATED (mk4) 0940 <100> <= [100,90]
Remurdered	Mogwai	RATED (mk4) 0940 <100> <= [100,90]
Post War Saturday Echo	Quatermass	RATED (mk4) 0940 <100> <= [100,90]
Politik	Coldplay	RATED (mk4) 0940 <100> <= [100,90]
Ode To The Sun	Dredg	RATED (mk4) 0940 <100> <= [100,90]
Normal	Porcupine Tree	RATED (mk4) 0940 <100> <= [100,90]
Memorial (feat. Chelsea Wolfe)	Russian Circles	RATED (mk4) 0940 <100> <= [100,90]
Many of Horror (Live At Wembley)	Biffy Clyro	RATED (mk4) 0940 <100> <= [100,90]
